X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
0.000385284,0.000120679,1.76036e-05,1.29088e-10,8.11169e-17,55,19,19,0.000196415,-5.22613e-05,-3.43717e-07
0.000524151,4.93714e-05,1.53729e-05,1.2923e-10,8.11163e-17,74,81,81,8.18353e-05,1.45258e-05,-3.59571e-07
0.000230122,7.78273e-05,8.85036e-06,1.2909e-10,8.11165e-17,33,175,175,0.000204083,5.44409e-05,-2.50857e-07
2.73303e-05,6.77328e-05,9.84876e-06,1.29126e-10,8.11166e-17,3,237,237,0.000223798,-3.64039e-08,4.97058e-07
0.000277759,9.97458e-05,1.7295e-05,1.29216e-10,8.11163e-17,39,303,303,0.000244356,6.64638e-05,-1.44249e-06
0.000497474,4.62639e-05,1.50511e-05,1.29244e-10,8.11163e-17,70,421,421,0.000114995,3.02392e-05,-1.51514e-07
0.000268293,3.49934e-05,2.10749e-05,1.29274e-10,8.11161e-17,38,459,459,8.86311e-05,-2.34104e-05,-2.72428e-07
9.42262e-05,7.2614e-05,1.56501e-05,1.29213e-10,8.11162e-17,13,507,507,0.000204443,5.65804e-07,8.37003e-07
0.0005276,6.28899e-05,1.95731e-05,1.29208e-10,8.11163e-17,74,640,640,0.000152824,-7.24384e-05,4.45113e-06
0.000144692,6.86651e-05,8.32037e-06,1.29177e-10,8.11165e-17,21,713,713,0.000190761,-3.86879e-07,-1.39587e-07
0.000711716,6.6876e-05,1.12192e-05,1.291e-10,8.11164e-17,103,740,740,0.000248347,-8.69579e-08,4.46637e-07
0.000605946,5.56684e-05,1.14458e-05,1.29275e-10,8.11162e-17,86,865,865,0.000193231,7.74475e-07,7.25873e-07
6.18838e-05,5.50353e-05,1.7592e-05,1.29436e-10,8.1116e-17,8,895,895,0.000211776,2.25e-08,-1.30604e-06
0.000345208,1.20317e-05,1.82902e-05,1.2922e-10,8.11162e-17,48,933,933,9.8659e-05,-2.57502e-05,-1.11e-08
9.09113e-05,5.62726e-05,2.00611e-05,1.29382e-10,8.1116e-17,12,947,947,0.000219078,-3.74271e-07,1.17244e-06
0.000180342,6.45576e-05,1.102e-05,1.29183e-10,8.11163e-17,24,1202,1202,0.000219703,2.74046e-05,3.83602e-06
0.000615599,5.47503e-05,2.33644e-05,1.29326e-10,8.11161e-17,88,1231,1231,0.000151707,-4.28774e-08,-4.4762e-07
0.000617407,5.36976e-05,9.13506e-06,1.29154e-10,8.11161e-17,88,1340,1340,0.000114645,-1.45798e-08,-2.5836e-07
0.000180954,7.78685e-05,1.73473e-05,1.28996e-10,8.11166e-17,25,1424,1424,0.000137786,3.16699e-05,-7.92367e-08
0.000343874,2.05156e-05,1.88165e-05,1.28989e-10,8.11167e-17,48,1507,1507,7.88364e-05,-2.11569e-05,-1.76846e-07
0.000545362,5.95732e-05,1.00986e-05,1.29078e-10,8.11168e-17,78,1519,1519,0.000166203,-1.92672e-05,-6.71995e-06
0.000320144,0.000111391,1.10063e-05,1.29305e-10,8.11164e-17,45,1522,1522,0.00019328,5.17957e-05,6.17013e-07
6.44919e-05,6.59231e-05,2.57567e-05,1.29311e-10,8.11161e-17,8,1595,1595,0.000192259,1.4245e-06,-8.38016e-07
0.000185044,5.29679e-05,1.02883e-05,1.29168e-10,8.11163e-17,26,1631,1631,0.000111276,-3.27018e-06,2.76883e-06
0.000106113,6.33488e-05,8.74048e-06,1.29319e-10,8.11162e-17,14,1865,1865,0.000227325,4.47748e-08,4.50092e-07
0.000417489,0.000106054,1.26093e-05,1.29317e-10,8.1116e-17,59,1888,1888,0.000266729,-7.32334e-05,-1.12691e-06
0.000263347,8.43642e-05,1.14287e-05,1.29495e-10,8.11155e-17,37,1944,1944,0.000215329,5.72403e-05,3.80967e-07
0.000364909,0.000121078,2.14173e-05,1.29012e-10,8.11166e-17,53,2008,2008,0.000213488,7.7288e-06,7.12751e-07
0.000652144,5.71793e-05,2.56761e-05,1.28936e-10,8.11172e-17,94,2045,2045,0.000153539,-7.27721e-07,1.15494e-06
0.0003415,0.000104957,1.256e-05,1.2909e-10,8.11164e-17,49,2086,2086,0.000223805,6.08647e-05,1.8112e-07
0.000188501,6.66336e-05,2.60028e-05,1.29282e-10,8.11161e-17,26,2108,2108,0.000146968,3.3631e-05,-3.4663e-06
0.000538233,5.52164e-05,8.414e-06,1.29066e-10,8.11168e-17,76,2120,2120,7.88944e-05,-4.78488e-06,-5.51044e-06
0.000277184,3.04786e-05,2.18998e-05,1.2947e-10,8.11159e-17,38,2266,2266,5.85507e-05,-1.61225e-05,3.70547e-07
0.000685365,6.1446e-05,8.79185e-06,1.29123e-10,8.11165e-17,98,2321,2321,0.000222653,-1.5829e-06,-6.33815e-07
