X,Y,Z,area,volume,atomic_block,cellId,baseCellId,velocity_x,velocity_y,velocity_z
0.000385405,0.000120646,1.76033e-05,1.29029e-10,8.11177e-17,55,19,19,0.000191416,-5.16914e-05,-5.55533e-07
0.000524202,4.93803e-05,1.53728e-05,1.29239e-10,8.11162e-17,74,81,81,8.02669e-05,1.39071e-05,-1.6618e-08
0.000230249,7.7861e-05,8.85009e-06,1.29026e-10,8.11169e-17,33,175,175,0.000200994,5.36069e-05,-5.55051e-07
2.74687e-05,6.77327e-05,9.84911e-06,1.29086e-10,8.11171e-17,3,237,237,0.000219362,-3.06374e-07,6.26933e-07
0.000277909,9.97869e-05,1.72939e-05,1.29218e-10,8.11164e-17,39,303,303,0.000237322,6.50313e-05,-2.03889e-06
0.000497545,4.62826e-05,1.50509e-05,1.29262e-10,8.11162e-17,70,421,421,0.000113229,2.97697e-05,-2.10114e-07
0.000268348,3.4979e-05,2.10747e-05,1.29308e-10,8.11157e-17,38,459,459,8.67743e-05,-2.26943e-05,-3.74898e-07
9.43523e-05,7.26145e-05,1.56508e-05,1.29214e-10,8.1116e-17,13,507,507,0.000199722,8.90262e-07,1.25308e-06
0.000527695,6.28454e-05,1.9576e-05,1.29215e-10,8.11162e-17,74,640,640,0.000149843,-7.01248e-05,4.93625e-06
0.00014481,6.86648e-05,8.32026e-06,1.29159e-10,8.11168e-17,21,713,713,0.000187459,-6.12473e-07,-1.9458e-07
0.000711869,6.68759e-05,1.12196e-05,1.29049e-10,8.11168e-17,103,740,740,0.000242414,-1.34013e-07,7.54879e-07
0.000606066,5.56689e-05,1.14463e-05,1.29303e-10,8.1116e-17,86,865,865,0.000189255,8.86024e-07,1.09517e-06
6.20148e-05,5.50353e-05,1.7591e-05,1.29555e-10,8.1115e-17,8,895,895,0.000207994,1.09676e-07,-2.04316e-06
0.000345269,1.20159e-05,1.82902e-05,1.29225e-10,8.11161e-17,48,933,933,9.69682e-05,-2.49176e-05,3.1206e-08
9.10464e-05,5.62724e-05,2.0062e-05,1.29469e-10,8.11154e-17,12,947,947,0.000213887,-4.27953e-07,1.55843e-06
0.000180477,6.45744e-05,1.10224e-05,1.29168e-10,8.11161e-17,24,1202,1202,0.000213641,2.6482e-05,3.9686e-06
0.000615693,5.47502e-05,2.33641e-05,1.29392e-10,8.11158e-17,88,1231,1231,0.000147871,-1.2326e-07,-6.87094e-07
0.000617477,5.36976e-05,9.13487e-06,1.29117e-10,8.11159e-17,88,1340,1340,0.000111598,1.02404e-07,-3.59637e-07
0.000181039,7.78881e-05,1.73473e-05,1.28878e-10,8.11173e-17,25,1424,1424,0.000135234,3.10149e-05,9.79733e-08
0.000343923,2.05025e-05,1.88163e-05,1.28852e-10,8.11178e-17,48,1507,1507,7.68218e-05,-2.06475e-05,-3.95562e-07
0.000545465,5.95615e-05,1.00944e-05,1.29011e-10,8.11175e-17,78,1519,1519,0.000162859,-1.82545e-05,-6.71387e-06
0.000320263,0.000111423,1.10068e-05,1.29385e-10,8.1116e-17,45,1522,1522,0.00018841,5.04906e-05,8.94805e-07
6.46106e-05,6.59242e-05,2.5756e-05,1.2937e-10,8.11156e-17,8,1595,1595,0.000188268,2.22722e-06,-1.56566e-06
0.000185113,5.29659e-05,1.029e-05,1.29143e-10,8.11166e-17,26,1631,1631,0.000109803,-3.17431e-06,2.67443e-06
0.000106253,6.33489e-05,8.74082e-06,1.29374e-10,8.11158e-17,14,1865,1865,0.000222903,1.58929e-07,6.04401e-07
0.000417654,0.000106008,1.26084e-05,1.2937e-10,8.11156e-17,59,1888,1888,0.00026063,-7.2372e-05,-1.65404e-06
0.00026348,8.43994e-05,1.1429e-05,1.29641e-10,8.11142e-17,37,1944,1944,0.000210238,5.56219e-05,5.57893e-07
0.000365041,0.000121083,2.14178e-05,1.28908e-10,8.11174e-17,53,2008,2008,0.000208722,6.65776e-06,1.00347e-06
0.000652239,5.71787e-05,2.56769e-05,1.28784e-10,8.11187e-17,94,2045,2045,0.000150034,-1.10826e-06,1.62152e-06
0.000341638,0.000104994,1.25602e-05,1.29037e-10,8.11167e-17,49,2086,2086,0.000219172,5.99759e-05,2.91028e-07
0.000188592,6.66541e-05,2.60008e-05,1.29325e-10,8.11156e-17,26,2108,2108,0.000143757,3.23532e-05,-3.12861e-06
0.000538282,5.52138e-05,8.4107e-06,1.28982e-10,8.11177e-17,76,2120,2120,7.71359e-05,-3.8358e-06,-5.09861e-06
0.00027722,3.04686e-05,2.19001e-05,1.29642e-10,8.1115e-17,38,2266,2266,5.55921e-05,-1.57371e-05,4.83599e-07
0.000685502,6.14448e-05,8.79133e-06,1.29084e-10,8.11167e-17,98,2321,2321,0.000218264,-2.24367e-06,-9.68825e-07
0.000161161,7.34072e-05,1.24548e-05,1.29735e-10,8.11147e-17,23,2351,2351,0.000168143,7.4792e-06,-7.9039e-07
8.67244e-05,6.55886e-05,1.90682e-05,1.29235e-10,8.11165e-17,12,2419,2419,0.000275187,8.54586e-07,1.59689e-07
0.000665086,6.40429e-05,1.47622e-05,1.29185e-10,8.11165e-17,96,2605,2605,0.00028166,1.13382e-06,1.09534e-06
0.000139798,6.21888e-05,1.33451e-05,1.29208e-10,8.11161e-17,20,2724,2724,0.000272884,-1.16354e-06,-7.3689e-07
0.000674674,6.67878e-05,8.70472e-06,1.28968e-10,8.11175e-17,97,2952,2952,0.000211467,1.75998e-07,-3.57501e-07
0.000696171,7.02347e-05,1.78193e-05,1.29243e-10,8.11163e-17,101,2981,2981,0.000238576,-1.05718e-06,-1.31559e-06
0.000200532,5.9254e-05,1.45972e-05,1.28966e-10,8.11171e-17,28,3035,3035,0.000143445,4.19099e-05,5.50261e-06
0.00071445,5.7523e-05,1.81785e-05,1.2904e-10,8.11172e-17,102,3122,3122,0.000240068,8.64098e-07,-5.34858e-07
0.000427113,0.000103644,1.80004e-05,1.29252e-10,8.11162e-17,61,3174,3174,0.000273898,-6.73778e-05,2.52263e-06
0.000321486,0.000101814,2.69131e-05,1.2988e-10,8.11135e-17,45,3177,3177,0.000126456,3.28797e-05,2.79248e-06
0.000560122,5.59745e-05,1.73445e-05,1.29182e-10,8.11159e-17,80,3194,3194,0.000206763,4.69501e-06,-3.41046e-06
0.000644429,6.30438e-05,2.14499e-05,1.29378e-10,8.11154e-17,92,3349,3349,0.000261448,1.69848e-06,-3.74256e-07
0.000619377,6.5382e-05,9.68909e-06,1.29461e-10,8.11147e-17,88,3352,3352,0.000235801,-1.0254e-06,-2.10257e-07
2.04931e-05,5.95363e-05,2.04291e-05,1.29103e-10,8.11169e-17,2,3388,3388,0.000255277,-2.12814e-06,-1.04526e-06
0.000221692,7.92393e-05,1.2727e-05,1.29318e-10,8.11158e-17,31,3429,3429,0.000257791,6.80522e-05,3.12811e-06
0.000260807,8.46912e-05,1.82878e-05,1.29284e-10,8.11155e-17,37,3533,3533,0.000252456,6.84678e-05,2.64992e-06
0.000258404,3.85282e-05,2.09796e-05,1.29421e-10,8.1115e-17,36,3544,3544,8.94518e-05,-2.30544e-05,3.92918e-07
0.000105914,6.57383e-05,2.49012e-05,1.29221e-10,8.1116e-17,14,3760,3760,0.000208583,-3.20332e-06,1.28802e-06
4.75356e-05,6.32464e-05,2.07655e-05,1.29321e-10,8.11156e-17,6,3786,3786,0.000265945,-3.93878e-06,4.85287e-07
0.000346997,0.000108912,2.24544e-05,1.29088e-10,8.11168e-17,49,3972,3972,0.000229264,6.3343e-05,3.1969e-06
0.000258945,9.38849e-05,1.13619e-05,1.29435e-10,8.11153e-17,37,3996,3996,0.000213866,5.92778e-05,9.80891e-07
0.00067912,5.55695e-05,2.4369e-05,1.29228e-10,8.11159e-17,98,4105,4105,0.000146085,-2.00769e-06,-2.18637e-06
0.000576202,6.72853e-05,2.20587e-05,1.29324e-10,8.11162e-17,83,4356,4356,0.000242074,-4.7738e-06,2.77347e-06
4.43846e-05,5.30862e-05,1.85923e-05,1.29586e-10,8.11148e-17,6,4441,4441,0.000157819,-2.45399e-06,-7.90118e-08
0.000567105,7.36939e-05,1.97819e-05,1.29407e-10,8.11158e-17,81,4543,4543,0.00017936,-1.42354e-05,6.51449e-07
0.000526842,7.51549e-05,1.90695e-05,1.29207e-10,8.11164e-17,75,4568,4568,0.000247959,-8.5982e-05,-2.28363e-07
0.00046654,9.9924e-05,1.1132e-05,1.29893e-10,8.11139e-17,67,4599,4599,0.000125982,-2.96666e-05,-3.24428e-06
0.000177159,5.22769e-05,1.92795e-05,1.29624e-10,8.11145e-17,24,4600,4600,0.000132625,-1.10735e-05,6.60451e-07
0.000359564,0.00010973,2.17326e-05,1.29023e-10,8.11175e-17,51,4713,4713,0.000221487,3.97589e-05,-8.32034e-07
0.000503925,7.84236e-05,2.14572e-05,1.29347e-10,8.11154e-17,73,4823,4823,0.000249477,-6.55385e-05,4.5745e-08
0.000625165,5.97446e-05,1.70276e-05,1.29159e-10,8.1117e-17,90,4931,4931,0.000267178,-2.02604e-06,-4.76434e-07
0.000239737,9.42555e-05,1.68407e-05,1.29502e-10,8.11143e-17,35,5005,5005,0.000132118,3.70919e-05,-1.85965e-06
0.000704222,6.29541e-05,1.75627e-05,1.29255e-10,8.11162e-17,100,5133,5133,0.000281218,-2.50959e-07,1.44257e-06
0.000126206,5.47369e-05,2.43755e-05,1.29483e-10,8.11155e-17,18,5213,5213,0.000128306,-2.96465e-06,1.8986e-06
